#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_in_plane
#	Current steps: 0.25 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 13 A
#	Minimum current: -13 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: in-plane magnet
#	Measurement date: 2022-11-24 12:50:24.350355
#	Measurement timestamp: 1669290624.3503551
#Data:
Timestamp (s),Current (A),Field (T)
1669293506.0422657,0.25,-0.010138
1669293513.8689642,0.5,0.035835000000000006
1669293519.7027402,0.75,0.03600000000000001
1669293527.6494348,1.0,0.08184000000000001
1669293533.467212,1.25,0.08201000000000001
1669293541.4709046,1.5,0.127475
1669293547.314684,1.75,0.12769999999999998
1669293555.6403613,2.0,0.17276499999999997
1669293561.4951348,2.25,0.17297
1669293569.4438307,2.5,0.21747
1669293575.334604,2.75,0.21769499999999997
1669293583.3072972,3.0,0.26154000000000005
1669293589.113075,3.25,0.26170000000000004
1669293596.9207745,3.5,0.30499999999999994
1669293602.76555,3.75,0.30499999999999994
1669293610.2002635,4.0,0.34699999999999986
1669293616.031043,4.25,0.34699999999999986
1669293736.466566,4.5,
1669293840.652682,4.75,
