#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_out_of_plane
#	Current steps: 1 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 60 A
#	Minimum current: -60 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: out-of-plane magnet
#	Measurement date: 2022-11-24 12:52:03.811487
#	Measurement timestamp: 1669290723.8114877
#Data:
Timestamp (s),Current (A),Field (T)
1669292573.7849612,-2.0,-0.070015
1669292585.2347925,-3.0,-0.107594
1669292596.6695192,-4.0,-0.1450525
1669292608.4401755,-5.0,-0.1826585
1669292620.1616158,-6.0,-0.22016050000000004
1669292632.1563165,-7.0,-0.25781200000000004
1669292643.974656,-8.0,-0.29545
1669292655.69637,-9.0,-0.33287999999999995
1669292667.706428,-10.0,-0.37005000000000005
1669292680.004199,-11.0,-0.40739000000000003
1669292692.2857978,-12.0,-0.4449699999999999
1669292704.2958052,-13.0,-0.4825750000000002
1669292716.593279,-14.0,-0.5200950000000001
1669292729.1631503,-15.0,-0.55765
1669292741.4609065,-16.0,-0.5948800000000001
1669292753.7587535,-17.0,-0.63216
1669292766.072977,-18.0,-0.6694450000000001
1669292778.642975,-19.0,-0.706655
1669292790.6526196,-20.0,-0.7438999999999998
1669292802.6792026,-21.0,-0.781045
1669292815.0085454,-22.0,-0.8182750000000001
1669292827.306773,-23.0,-0.8550599999999999
1669292839.0446904,-24.0,-0.8917749999999998
1669292851.0709345,-25.0,-0.9284849999999999
1669292863.0808573,-26.0,-0.964955
1669292874.5305715,-27.0,-1.000975
1669292886.2692266,-28.0,-1.0369449999999998
1669292897.720257,-29.0,-1.0724700000000003
1669292909.1701763,-30.0,-1.10786
1669292920.5882993,-31.0,-1.1428550000000002
1669292932.022672,-32.0,-1.1776400000000002
1669292942.881186,-33.0,-1.2121949999999997
1669292953.995249,-34.0,-1.2467599999999999
1669292965.1415918,-35.0,-1.2810850000000003
1669292976.2887912,-36.0,-1.3151
1669292987.4511073,-37.0,-1.348865
1669292998.3097787,-38.0,-1.3821550000000002
1669293009.200709,-39.0,-1.4153550000000004
1669293020.074947,-40.0,-1.44807
1669293030.9010875,-41.0,-1.4803499999999998
1669293041.4554975,-42.0,-1.51189
1669293052.0108345,-43.0,-1.5428199999999999
1669293062.2932532,-44.0,-1.57278
1669293072.5919812,-45.0,-1.601855
1669293082.3473577,-46.0,-1.6296499999999998
1669293091.7668438,-47.0,-1.6561600000000003
1669293100.3073304,-48.0,-1.6811700000000003
1669293108.5419877,-49.0,-1.70478
1669293116.5543675,-50.0,-1.7270750000000004
1669293124.246443,-51.0,-1.7482199999999999
1669293131.6507099,-52.0,-1.7684450000000003
1669293139.0400581,-53.0,-1.78782
1669293146.4433692,-54.0,-1.8065600000000004
1669293153.863845,-55.0,-1.8247300000000002
1669293160.9965189,-56.0,-1.8423200000000002
1669293168.1291416,-57.0,-1.8593350000000002
1669293175.2450345,-58.0,-1.875855
1669293182.377133,-59.0,-1.8918699999999997
1669293189.4617379,-60.0,-1.9074749999999998
1669293195.1390116,-60.0,-1.9075
1669293201.9830894,-59.0,-1.8930300000000002
1669293208.8277059,-58.0,-1.8779349999999997
1669293215.9449866,-57.0,-1.8622300000000003
1669293223.0773022,-56.0,-1.8461150000000004
1669293230.1940215,-55.0,-1.829345
1669293237.3102221,-54.0,-1.81214
1669293244.4262636,-53.0,-1.7943550000000001
1669293251.8304763,-52.0,-1.775965
1669293259.2361338,-51.0,-1.7568699999999997
1669293266.6396892,-50.0,-1.73697
1669293274.3160036,-49.0,-1.71598
1669293282.2953153,-48.0,-1.6937350000000002
1669293290.5475304,-47.0,-1.6697449999999996
1669293299.679497,-46.0,-1.6438499999999998
1669293309.385996,-45.0,-1.6162299999999998
1669293319.3971603,-44.0,-1.5871199999999999
1669293329.6957555,-43.0,-1.5570149999999998
1669293340.250456,-42.0,-1.5259500000000001
1669293350.8213494,-41.0,-1.49421
1669293361.3767376,-40.0,-1.4617250000000002
1669293372.2505534,-39.0,-1.4287199999999998
1669293382.8217058,-38.0,-1.39522
1669293393.392242,-37.0,-1.3616449999999998
1669293403.9794834,-36.0,-1.327645
1669293414.8218079,-35.0,-1.2934249999999998
1669293425.359996,-34.0,-1.2590100000000002
1669293435.930751,-33.0,-1.224375
1669293446.2460787,-32.0,-1.1896
1669293456.8003736,-31.0,-1.1547149999999997
1669293467.371217,-30.0,-1.119665
1669293477.9251935,-29.0,-1.08425
1669293488.2255828,-28.0,-1.0487000000000002
1669293498.5078256,-27.0,-1.0127399999999998
1669293508.7904217,-26.0,-0.9765599999999998
1669293519.3452866,-25.0,-0.9399299999999998
1669293529.9321554,-24.0,-0.903145
1669293540.4709022,-23.0,-0.866235
1669293550.465857,-22.0,-0.82941
1669293560.748941,-21.0,-0.7921100000000001
1669293570.7440283,-20.0,-0.75493
1669293581.0266573,-19.0,-0.71753
1669293591.2934391,-18.0,-0.68023
1669293601.2893221,-17.0,-0.6429499999999999
1669293611.283985,-16.0,-0.605605
1669293621.567282,-15.0,-0.5682449999999999
1669293631.561959,-14.0,-0.5307299999999999
1669293641.5571363,-13.0,-0.49323000000000006
1669293651.552167,-12.0,-0.45552000000000004
1669293661.5794926,-11.0,-0.41790000000000005
1669293671.574209,-10.0,-0.380425
1669293681.5694067,-9.0,-0.343265
1669293691.851744,-8.0,-0.305805
1669293701.8632543,-7.0,-0.26832999999999996
1669293712.2572162,-6.0,-0.230481
1669293722.5406876,-5.0,-0.192933
1669293733.1111553,-4.0,-0.155312
1669293743.6822147,-3.0,-0.11783750000000001
1669293754.5406067,-2.0,-0.08025
1669293765.4308245,-1.0,-0.04280450000000001
1669293776.41799,0.0,-0.005300050000000001
1669293787.6914551,1.0,0.032284999999999994
1669293799.126622,2.0,0.069776
1669293810.560115,3.0,0.107263
1669293821.9951222,4.0,0.14469600000000002
1669293833.733328,5.0,0.1823435
1669293845.726939,6.0,0.219809
1669293857.4492838,7.0,0.2571875
1669293869.2673457,8.0,0.29496
1669293881.0381603,9.0,0.33257000000000003
1669293892.7753296,10.0,0.36997500000000005
1669293905.3455718,11.0,0.407545
1669293917.3716776,12.0,0.44486499999999995
1669293929.6861067,13.0,0.48234999999999995
1669293941.9838593,14.0,0.51959
1669293954.2813513,15.0,0.5566550000000001
1669293966.883374,16.0,0.5938549999999999
1669293978.9249744,17.0,0.63127
1669293990.9358866,18.0,0.6688700000000001
1669294002.9612284,19.0,0.7062949999999999
1669294014.9870887,20.0,0.7434800000000001
1669294026.997093,21.0,0.7804849999999999
1669294039.2794824,22.0,0.817375
1669294051.305026,23.0,0.85359
1669294063.3314054,24.0,0.88988
1669294075.3412795,25.0,0.9265799999999998
1669294087.064025,26.0,0.96329
1669294098.833199,27.0,0.9996750000000001
1669294110.2678118,28.0,1.0355750000000004
1669294121.4142864,29.0,1.0710950000000001
1669294132.816566,30.0,1.10649
1669294144.2352855,31.0,1.141455
1669294155.6895382,32.0,1.176255
1669294167.136482,33.0,1.2108600000000003
1669294177.9789147,34.0,1.2450750000000002
1669294189.1574254,35.0,1.279245
1669294199.9997923,36.0,1.3129849999999998
1669294210.874827,37.0,1.3465850000000001
1669294221.6850576,38.0,1.3797649999999997
1669294232.8474803,39.0,1.41286
1669294243.7385058,40.0,1.4454799999999997
1669294254.6168585,41.0,1.4776749999999996
1669294265.183837,42.0,1.50914
1669294275.7384546,43.0,1.5399849999999997
1669294286.0375524,44.0,1.56988
1669294296.2720616,45.0,1.598845
1669294305.691429,46.0,1.62656
1669294314.8227386,47.0,1.6529549999999997
1669294323.3946245,48.0,1.67794
1669294331.6627648,49.0,1.7014399999999998
1669294339.354455,50.0,1.7236549999999997
1669294347.0472245,51.0,1.7447750000000002
1669294354.4515224,52.0,1.76493
1669294361.8576508,53.0,1.7842200000000006
1669294369.2763066,54.0,1.8028600000000001
1669294376.3768017,55.0,1.8208350000000002
1669294383.494043,56.0,1.838345
1669294390.6258032,57.0,1.855245
1669294397.7424653,58.0,1.8716599999999997
1669294404.8745563,59.0,1.88756
1669294411.9915116,60.0,1.9030650000000005
1669294417.6686373,60.0,1.9031000000000002
1669294424.5130532,59.0,1.8886949999999996
1669294431.6134517,58.0,1.8736550000000005
1669294438.4586833,57.0,1.8581400000000001
1669294445.574457,56.0,1.84207
1669294452.7077572,55.0,1.82544
1669294459.807713,54.0,1.80834
1669294466.9243433,53.0,1.790645
1669294474.3288956,52.0,1.7723400000000002
1669294481.7332764,51.0,1.753285
1669294489.1538918,50.0,1.7334600000000002
1669294496.8618386,49.0,1.7125599999999994
1669294504.553906,48.0,1.69041
1669294513.0938573,47.0,1.6664550000000002
1669294522.225496,46.0,1.6407049999999999
1669294531.9002247,45.0,1.6131350000000002
1669294541.9111192,44.0,1.5841350000000003
1669294552.1947455,43.0,1.5541299999999998
1669294562.7659812,42.0,1.52314
1669294573.3362472,41.0,1.49145
1669294583.603837,40.0,1.4591100000000001
1669294594.461923,39.0,1.4261199999999996
1669294605.0491486,38.0,1.3927299999999998
1669294615.90726,37.0,1.3592450000000003
1669294626.190153,36.0,1.3255199999999996
1669294636.7611613,35.0,1.2915100000000002
1669294647.3636568,34.0,1.2572350000000003
1669294657.9506817,33.0,1.22282
1669294668.522105,32.0,1.1881149999999998
1669294679.0922346,31.0,1.1532599999999997
1669294689.6628728,30.0,1.1182499999999997
1669294700.2334335,29.0,1.082855
1669294710.4846768,28.0,1.04731
1669294721.3437884,27.0,1.0112599999999998
1669294731.9143622,26.0,0.9749199999999998
1669294742.213249,25.0,0.9381149999999998
1669294752.512189,24.0,0.9010250000000001
1669294762.811133,23.0,0.8646149999999999
1669294772.8059561,22.0,0.8283099999999999
1669294783.1047802,21.0,0.79145
1669294793.06836,20.0,0.75443
1669294803.0785728,19.0,0.7172050000000001
1669294813.0904016,18.0,0.6798050000000002
1669294823.6612093,17.0,0.6420600000000001
1669294833.9604068,16.0,0.6044400000000001
1669294843.9394665,15.0,0.567215
1669294853.9539013,14.0,0.5301
1669294863.9451802,13.0,0.4928399999999999
1669294873.9728394,12.0,0.45535500000000007
1669294883.968187,11.0,0.41793
1669294893.947363,10.0,0.38043000000000005
1669294904.2146964,9.0,0.3429549999999999
1669294914.4974477,8.0,0.30533000000000005
1669294924.5086029,7.0,0.267835
1669294934.8713076,6.0,0.2300045
1669294945.4424045,5.0,0.192558
1669294956.029587,4.0,0.15492
1669294966.5840108,3.0,0.11746799999999999
1669294977.4265873,2.0,0.07992400000000001
1669294988.3175402,1.0,0.04243999999999999
1669294999.2721064,0.0,0.004901000000000001
1669295010.5146966,-1.0,-0.0326315
1669295021.6454072,-2.0,-0.0700475
1669295033.064293,-3.0,-0.10761650000000003
1669295044.514585,-4.0,-0.145076
1669295056.2372794,-5.0,-0.1826735
1669295067.9590108,-6.0,-0.22017250000000002
1669295079.953117,-7.0,-0.25782099999999997
1669295091.8031425,-8.0,-0.29545
1669295103.5413053,-9.0,-0.33286
1669295115.2635815,-10.0,-0.36999000000000004
1669295127.5617368,-11.0,-0.4073650000000001
1669295139.8756444,-12.0,-0.44494999999999996
1669295152.4454591,-13.0,-0.4826450000000001
1669295164.7594342,-14.0,-0.5200750000000001
1669295177.0731018,-15.0,-0.55758
1669295189.4030633,-16.0,-0.5948550000000001
1669295201.4295998,-17.0,-0.63209
1669295214.0314565,-18.0,-0.6694450000000002
1669295226.2973475,-19.0,-0.7065899999999998
1669295238.5796282,-20.0,-0.7438949999999999
1669295250.861879,-21.0,-0.7810499999999999
1669295262.8560896,-22.0,-0.818185
1669295274.8660455,-23.0,-0.85498
1669295286.8604484,-24.0,-0.8917949999999999
1669295298.5823457,-25.0,-0.9283999999999999
1669295310.3205593,-26.0,-0.964895
1669295322.0425787,-27.0,-1.000975
1669295333.4924462,-28.0,-1.0368749999999998
1669295344.63978,-29.0,-1.0723950000000002
1669295355.8021498,-30.0,-1.107785
1669295366.948429,-31.0,-1.1427800000000001
1669295378.0954752,-32.0,-1.1775650000000002
1669295389.545847,-33.0,-1.2122549999999996
1669295400.6606803,-34.0,-1.24672
1669295411.5349054,-35.0,-1.2809899999999999
1669295422.4257216,-36.0,-1.31499
1669295433.5405633,-37.0,-1.34881
1669295444.4148724,-38.0,-1.382095
1669295455.257182,-39.0,-1.4152800000000003
1669295466.1159797,-40.0,-1.447995
1669295476.6869893,-41.0,-1.4802399999999998
1669295487.5616584,-42.0,-1.5118550000000002
1669295497.8764408,-43.0,-1.5426949999999997
1669295508.159509,-44.0,-1.57268
1669295518.4582915,-45.0,-1.601755
1669295528.1654966,-46.0,-1.629535
1669295537.297128,-47.0,-1.6559699999999995
1669295545.8689034,-48.0,-1.6810300000000002
1669295554.1526585,-49.0,-1.7046000000000003
1669295562.132429,-50.0,-1.7268999999999999
1669295569.8414214,-51.0,-1.7480250000000002
1669295577.2293932,-52.0,-1.7682299999999997
1669295584.63377,-53.0,-1.7876150000000002
1669295592.022341,-54.0,-1.806335
1669295599.4425604,-55.0,-1.824465
1669295606.5589018,-56.0,-1.8420550000000002
1669295613.6753736,-57.0,-1.8590549999999997
1669295620.7918172,-58.0,-1.8755649999999995
1669295627.908383,-59.0,-1.8915649999999993
1669295635.0411167,-60.0,-1.9071750000000005
